scenario,duration,concurrentCopies,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
500,00:02:00,500,GetAcceptances NA DLY,68095,0,68095,0,0,0,0,0,0,0,0,0,0,0,0
500,00:02:00,500,IsAcceptanceRequired NA DLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,00:02:00,500,GetLatestDocuments NA DLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,00:02:00,500,GetLatestDocumentServiceManager NA DLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,00:02:00,500,GetViewLatestDocument NA DLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,00:02:00,500,AcceptLatest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
