scenario,duration,concurrentCopies,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
500,00:02:00,500,IsAcceptanceRequired NA DLY,851,724,127,6,246,11108,105077,6979,14535,33503,11839,0,0.05,0.11,0.08
500,00:02:00,500,GetLatestDocuments NA DLY,659,659,0,5,40,6260,37049,5251,8863,16767,5088,0,0.04,0.09,0.06
500,00:02:00,500,GetLatestDocumentServiceManager NA DLY,599,599,0,4,92,7834,44804,6023,9191,25679,7641,0,0.05,0.11,0.07
500,00:02:00,500,GetViewLatestDocument NA DLY,599,0,599,0,0,0,0,0,0,0,0,0,0,0,0
500,00:02:00,500,AcceptLatest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
